F0,F1,F2,F3
-4.304519661370628802e-01,-1.564014594443326467e-01,1.141406338305953616e-01,0.000000000000000000e+00
-3.928772733652332039e-01,-1.872943147094996985e-01,1.304630680356958505e-01,0.000000000000000000e+00
-5.273640672851364064e-01,-1.876447388088466339e-01,6.368637959965320339e-02,0.000000000000000000e+00
-6.354935990264406476e-01,-7.369931334727589101e-02,2.426806900996628796e-02,0.000000000000000000e+00
-4.880028720107190687e-01,1.245341125240023716e-02,4.469773814827576741e-03,0.000000000000000000e+00
-5.749682121627694986e-01,-9.087508943289093755e-02,1.175764555467009864e-01,0.000000000000000000e+00
-3.174057185193930875e-01,-6.991425682586928370e-02,1.789636487225833572e-01,0.000000000000000000e+00
-4.963326130282337822e-01,-1.206864691511427001e-01,-2.843268728631580256e-02,0.000000000000000000e+00
-5.182048969217155632e-01,-1.961203324101374323e-01,1.839514508844152796e-01,0.000000000000000000e+00
-5.696398672047598977e-01,-1.264017186046635377e-01,1.059848381262215172e-01,0.000000000000000000e+00
-4.468001240764050697e-01,-7.514291727915251018e-02,1.773899232252517666e-01,0.000000000000000000e+00
-4.076066453215672070e-01,-8.358611902184723275e-02,8.876758419557259638e-02,0.000000000000000000e+00
-3.419657213043600930e-01,-1.358560401492169556e-01,4.935536731530643789e-02,0.000000000000000000e+00
-6.445393510168667683e-01,-2.025043492001853684e-01,7.682569160987219592e-02,0.000000000000000000e+00
-5.985080969298870457e-01,-1.279102959847597809e-01,-4.544261084211696777e-02,0.000000000000000000e+00
-4.909610571671576551e-01,-2.288158483258072584e-01,7.352726776147612553e-02,0.000000000000000000e+00
-6.024016596795350731e-01,-2.012539301701882499e-01,-4.319014318944491837e-05,0.000000000000000000e+00
-5.244621032115091008e-01,-1.710869398737564495e-01,7.999422859511315376e-02,0.000000000000000000e+00
-4.456133218314393685e-01,-2.042881095117436707e-01,7.811145894624287045e-02,0.000000000000000000e+00
-6.360282861782373676e-01,-1.966795707698756057e-01,8.264541613309722701e-02,0.000000000000000000e+00
-7.033854698912218595e-01,-1.038774079226126440e-01,-2.428895870902481047e-02,0.000000000000000000e+00
-4.833124907913118329e-01,-1.074377680208374319e-01,-7.500273768472040525e-02,0.000000000000000000e+00
-6.658969193407615617e-01,-2.917465272042090718e-01,7.954789632709734215e-02,0.000000000000000000e+00
-6.174840516000489332e-01,4.531979867371219162e-02,5.477052920680344078e-02,0.000000000000000000e+00
-4.794007463853308115e-01,-3.013324772551193576e-01,1.081209768764327117e-01,0.000000000000000000e+00
-4.699083449091507325e-01,-2.531352807112843273e-01,8.832766552075439759e-02,0.000000000000000000e+00
-4.382194067411451233e-01,-1.344251518978208937e-01,2.315877682425792061e-01,0.000000000000000000e+00
-3.128340238669252704e-01,-2.254166983221102538e-01,1.154192119564211860e-01,0.000000000000000000e+00
-5.401151142032285524e-01,-2.661641666420830887e-01,1.754996453171331905e-01,0.000000000000000000e+00
-6.175213792539534507e-01,-1.850302646464111467e-01,6.320260373493133410e-02,0.000000000000000000e+00
-4.327515552252542141e-01,-3.164042153374287958e-01,-3.579121130064713552e-02,0.000000000000000000e+00
-5.035603820602584380e-01,-1.269470404964589683e-01,2.634368973157817650e-02,0.000000000000000000e+00
-5.819505268736218095e-01,-1.671834141255615636e-01,2.278755493016259015e-01,0.000000000000000000e+00
-3.599556311544138687e-01,-9.289217245151848434e-02,1.352425523903850735e-01,0.000000000000000000e+00
-4.273749808493876312e-01,-5.026295737240338291e-02,5.163916090762260547e-02,0.000000000000000000e+00
-4.028412197699321462e-01,-1.607749979497099246e-01,6.322988925899922230e-02,0.000000000000000000e+00
-4.102617544431815810e-01,-1.484958620147635577e-01,-4.639208743860726014e-02,0.000000000000000000e+00
-5.206734577683436171e-01,-1.016437400641542199e-01,-9.637091775879416677e-03,0.000000000000000000e+00
-4.159502272425962821e-01,-2.891884926543525358e-01,1.061983867923628200e-01,0.000000000000000000e+00
-6.272038890764777275e-01,-2.949523291346992648e-01,1.682822287757296809e-01,0.000000000000000000e+00
-3.690972432959642724e-01,-1.598280224230940738e-01,4.591054719792594246e-02,0.000000000000000000e+00
-5.044789891432551743e-01,-2.338699185761922150e-01,4.297512081860796473e-02,0.000000000000000000e+00
-5.760105237829056257e-01,-2.488637982511263669e-01,4.325634220104897232e-02,0.000000000000000000e+00
-4.635280649070043779e-01,-1.954875094762568433e-01,9.827507969494651829e-02,0.000000000000000000e+00
-4.474814028911741071e-01,-1.064003003469295716e-01,1.601611277474350448e-01,0.000000000000000000e+00
-5.022483840128687538e-01,-1.821947997055135271e-01,7.525012565696526101e-02,0.000000000000000000e+00
-5.187386005535129518e-01,-1.614872879402914629e-01,1.216328363778433619e-02,0.000000000000000000e+00
-6.337631249360127228e-01,-1.551702266863743129e-01,5.659170103120168133e-02,0.000000000000000000e+00
-4.755562524912444466e-01,-3.189655097133318185e-01,8.132450504553115356e-02,0.000000000000000000e+00
-4.656034668124803821e-01,-2.575690731950060486e-01,1.331308052428506195e-01,0.000000000000000000e+00
-5.170035094254155084e-01,-2.875138259571241028e-01,-9.675753880872051127e-03,0.000000000000000000e+00
-4.561157058631484240e-01,-1.833694325087172339e-01,1.761662331488383360e-01,0.000000000000000000e+00
-4.465676422371423482e-01,-1.800642651932643501e-02,1.202896424594339375e-01,0.000000000000000000e+00
-4.561783313240110327e-01,-7.515205669257789267e-02,1.305466236260809376e-01,0.000000000000000000e+00
-4.530805420241419412e-01,-1.419948250905614107e-01,1.675768206928414383e-01,0.000000000000000000e+00
-5.960676340711653642e-01,-2.192375355266917292e-01,8.670563882272185052e-02,0.000000000000000000e+00
-4.089446387438227526e-01,-1.362106542575102497e-01,4.881965014195427388e-02,0.000000000000000000e+00
-4.531236592583569589e-01,-3.287437209434161678e-02,1.331761333381163426e-01,0.000000000000000000e+00
-4.377185640259996235e-01,-4.510561607782587190e-02,6.933238214549455880e-02,0.000000000000000000e+00
-6.637837861153323971e-01,-1.782910166845217970e-01,-4.255065441699784623e-02,0.000000000000000000e+00
-5.768581352395174555e-01,-1.291822938346618987e-01,-8.631533011029496327e-02,0.000000000000000000e+00
-4.278089534261443339e-01,1.029354227329631888e-02,4.071012147283364913e-02,0.000000000000000000e+00
-5.714323421988540819e-01,-9.564984332988776816e-02,-4.947887668271797046e-02,0.000000000000000000e+00
-5.028868944546183162e-01,-3.160212320020304444e-02,-2.389702005895047443e-02,0.000000000000000000e+00
-5.192280864180626176e-01,-2.020829484322416714e-01,6.599457841089981236e-02,0.000000000000000000e+00
-3.444042696532392256e-01,-9.439449185141668419e-02,4.480728982543887018e-02,0.000000000000000000e+00
-4.001647177422533730e-01,-2.499214048330509197e-01,6.356093783191754665e-02,0.000000000000000000e+00
-3.976910148965849823e-01,-2.485776041551772675e-01,1.891477090395166372e-01,0.000000000000000000e+00
-5.500288569923843518e-01,-2.505095244184451508e-01,2.648647992294135278e-01,0.000000000000000000e+00
-5.080407898817475010e-01,-1.293216871880315533e-01,1.841416639252575760e-02,0.000000000000000000e+00
-4.813249195333653696e-01,-2.179056929869326309e-01,1.183715645481013268e-01,0.000000000000000000e+00
