F0,F1,F2,F3,F4,F5
8.162843224048371704e-01,-5.508302787993391014e-01,5.618650110145295695e-01,-2.311537712548137891e-01,-3.128152902462965068e-01,0.000000000000000000e+00
7.254285170046697040e-01,-5.752392187654120637e-01,6.113647730529567781e-01,-2.090805375180950221e-01,-3.547579867778355434e-01,0.000000000000000000e+00
7.188282249293065362e-01,-6.217353010004276204e-01,7.930281525504342399e-01,-2.489504122158977817e-01,-3.348550277044863854e-01,0.000000000000000000e+00
7.854426500363486108e-01,-6.502273721072016066e-01,8.801203927881793287e-01,-4.200072149520304166e-01,-3.481303440508701774e-01,0.000000000000000000e+00
7.568932892295796577e-01,-5.317112171647523367e-01,6.636525480591790593e-01,-1.583382425026276519e-01,-4.287206029234215121e-01,0.000000000000000000e+00
8.319262656356621877e-01,-7.495706131417146922e-01,6.421146353688855779e-01,-1.758644339332227080e-01,-4.257969161082882925e-01,0.000000000000000000e+00
8.263466390074826196e-01,-6.635101634177577035e-01,8.261249203520775186e-01,-3.717650929221882894e-01,-4.623289255035710754e-01,0.000000000000000000e+00
8.476726573850856816e-01,-6.704833514045909215e-01,7.090371652975751005e-01,-2.902869493714242410e-01,-5.006005490111171685e-01,0.000000000000000000e+00
7.210233050587818715e-01,-6.254928592387006825e-01,6.916246708064328619e-01,-2.661051224130291382e-01,-3.637877928417461160e-01,0.000000000000000000e+00
7.016188370530287433e-01,-6.632736737804760807e-01,7.076361524035781336e-01,-2.379642875874167507e-01,-3.717834085511582121e-01,0.000000000000000000e+00
7.715148605739885479e-01,-6.155652015775565644e-01,6.105688816020921061e-01,-6.294113188458974606e-02,-4.480189484077448658e-01,0.000000000000000000e+00
6.720180758564129331e-01,-5.358437812821921220e-01,7.230360810938490923e-01,-2.943823412547748042e-01,-4.865562916845823649e-01,0.000000000000000000e+00
8.150548408837997583e-01,-6.376802810705359814e-01,6.118119520617799623e-01,-2.896074211719616986e-01,-3.176140332913153785e-01,0.000000000000000000e+00
9.346158154748720470e-01,-5.353447575202631148e-01,6.381401617696640383e-01,-2.274633570798202942e-01,-3.740423612166066669e-01,0.000000000000000000e+00
8.904583387461374455e-01,-6.548453903494932948e-01,6.325847641507515995e-01,-1.800224088847242887e-01,-4.421645933616871749e-01,0.000000000000000000e+00
7.571802309328207192e-01,-5.305171759585237679e-01,6.925541227572880043e-01,-4.809288907873557894e-01,-3.006888173196789471e-01,0.000000000000000000e+00
7.304818847026027795e-01,-6.502543009097947468e-01,5.941998869307103526e-01,-1.025074417788060244e-01,-4.790037414345480471e-01,0.000000000000000000e+00
8.383970733671252118e-01,-5.499506097452578901e-01,6.562316982845312063e-01,-1.621559997015510346e-01,-3.385488588233055429e-01,0.000000000000000000e+00
7.797430584536102494e-01,-6.454489002368419825e-01,6.925210979529731192e-01,-1.660848269374209374e-01,-3.337814426269110624e-01,0.000000000000000000e+00
6.599062518649252418e-01,-8.328580070920187373e-01,8.431352677206879198e-01,-3.420134571409476631e-01,-4.258838275337620827e-01,0.000000000000000000e+00
7.379750617113903788e-01,-6.453863971358093643e-01,7.045750022285532932e-01,-2.074396549153855462e-01,-2.689023581984228417e-01,0.000000000000000000e+00
6.826136314810105077e-01,-6.842901404170455004e-01,7.426819176726682237e-01,-2.130729981107216953e-01,-4.126381679639382072e-01,0.000000000000000000e+00
7.930008582569019193e-01,-5.696257843392018572e-01,7.135957984255811848e-01,-1.364690039379349573e-01,-5.066523844304915425e-01,0.000000000000000000e+00
8.069931574221755888e-01,-4.741154182659619298e-01,8.031668326320570150e-01,-2.528404086771017245e-01,-3.661525904323267855e-01,0.000000000000000000e+00
7.763982012365900909e-01,-7.024967422253082239e-01,6.661112049626267684e-01,-2.797099853005285408e-01,-3.530669125844322354e-01,0.000000000000000000e+00
6.473786074744458663e-01,-5.906016009166173975e-01,7.726087601223985413e-01,-1.945221539744527162e-01,-4.036607309207181360e-01,0.000000000000000000e+00
7.561918558632448883e-01,-8.302034891473937250e-01,6.644524420899209360e-01,-2.242929073251526684e-01,-2.945385793824648601e-01,0.000000000000000000e+00
6.808803761344216499e-01,-5.981739933727728831e-01,7.187681327464882086e-01,-2.227512487713830258e-01,-2.965635668840539974e-01,0.000000000000000000e+00
6.315720584575824637e-01,-6.752989791758243765e-01,6.927728113331398374e-01,-1.643016321684786785e-01,-4.951962985894269309e-01,0.000000000000000000e+00
